,,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
HM2SA-1W,"810,000 ₫",0 ₫,0 ₫,"12,960,000 ₫","9,720,000 ₫","9,720,000 ₫","9,720,000 ₫","9,720,000 ₫","9,720,000 ₫","9,720,000 ₫","9,720,000 ₫","9,720,000 ₫","4,050,000 ₫","2,430,000 ₫","2,430,000 ₫","2,430,000 ₫","2,430,000 ₫","2,430,000 ₫","2,430,000 ₫","2,430,000 ₫","2,430,000 ₫","2,430,000 ₫","2,430,000 ₫","2,430,000 ₫","2,430,000 ₫"
WS2GW-R,"1,080,000 ₫",0 ₫,0 ₫,"2,160,000 ₫","2,160,000 ₫","2,160,000 ₫","2,160,000 ₫","2,160,000 ₫","2,160,000 ₫","2,160,000 ₫","2,160,000 ₫","2,160,000 ₫","1,080,000 ₫","1,080,000 ₫","1,080,000 ₫","1,080,000 ₫","1,080,000 ₫","1,080,000 ₫","1,080,000 ₫","1,080,000 ₫","1,080,000 ₫","1,080,000 ₫","1,080,000 ₫","1,080,000 ₫","1,080,000 ₫"
HM5HW-T,"810,000 ₫",0 ₫,0 ₫,"810,000 ₫","810,000 ₫","810,000 ₫","810,000 ₫","810,000 ₫","810,000 ₫","810,000 ₫","810,000 ₫","810,000 ₫","1,620,000 ₫","2,430,000 ₫","2,430,000 ₫","2,430,000 ₫","2,430,000 ₫","2,430,000 ₫","2,430,000 ₫","2,430,000 ₫","2,430,000 ₫","2,430,000 ₫","2,430,000 ₫","2,430,000 ₫","2,430,000 ₫"
HM2WD-W,"1,080,000 ₫",0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,"2,160,000 ₫","2,160,000 ₫","2,160,000 ₫","2,160,000 ₫","2,160,000 ₫","2,160,000 ₫","2,160,000 ₫","2,160,000 ₫","2,160,000 ₫","2,160,000 ₫","2,160,000 ₫","2,160,000 ₫","2,160,000 ₫"
HM1RC-W,"702,000 ₫",0 ₫,0 ₫,"702,000 ₫","702,000 ₫","702,000 ₫","702,000 ₫","702,000 ₫","702,000 ₫","702,000 ₫","702,000 ₫","702,000 ₫","2,106,000 ₫","2,106,000 ₫","2,106,000 ₫","2,106,000 ₫","2,106,000 ₫","2,106,000 ₫","2,106,000 ₫","2,106,000 ₫","2,106,000 ₫","2,106,000 ₫","2,106,000 ₫","2,106,000 ₫","2,106,000 ₫"
HM2EB-W,"750,000 ₫",0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,"1,500,000 ₫","1,500,000 ₫","1,500,000 ₫","1,500,000 ₫","1,500,000 ₫","1,500,000 ₫","1,500,000 ₫","1,500,000 ₫","1,500,000 ₫","1,500,000 ₫","1,500,000 ₫","1,500,000 ₫","1,500,000 ₫"
