,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Total Cost,0 ₫,0 ₫,"10,845,250 ₫",0 ₫,0 ₫,"4,698,000 ₫",0 ₫,0 ₫,"1,620,000 ₫","1,200,000 ₫",0 ₫,"10,478,000 ₫","6,847,500 ₫",0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫
Total Sales,0 ₫,0 ₫,0 ₫,"3,240,000 ₫",0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,"14,580,000 ₫","5,940,000 ₫",0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫
Net Cashflow,0 ₫,0 ₫,"-10,845,250 ₫","3,240,000 ₫",0 ₫,"-4,698,000 ₫",0 ₫,0 ₫,"-1,620,000 ₫","-1,200,000 ₫",0 ₫,"4,102,000 ₫","-907,500 ₫",0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫
Net Balance,"13,503,250 ₫","13,503,250 ₫","2,658,000 ₫","5,898,000 ₫","5,898,000 ₫","1,200,000 ₫","1,200,000 ₫","1,200,000 ₫","-420,000 ₫","-1,620,000 ₫","-1,620,000 ₫","2,482,000 ₫","1,574,500 ₫","1,574,500 ₫","1,574,500 ₫","1,574,500 ₫","1,574,500 ₫","1,574,500 ₫","1,574,500 ₫","1,574,500 ₫","1,574,500 ₫","1,574,500 ₫","1,574,500 ₫","1,574,500 ₫"
Forecast Sales,0 ₫,0 ₫,"16,632,000 ₫","13,392,000 ₫","13,392,000 ₫","13,392,000 ₫","13,392,000 ₫","13,392,000 ₫","13,392,000 ₫","13,392,000 ₫","13,392,000 ₫","12,516,000 ₫","11,706,000 ₫","11,706,000 ₫","11,706,000 ₫","11,706,000 ₫","11,706,000 ₫","11,706,000 ₫","11,706,000 ₫","11,706,000 ₫","11,706,000 ₫","11,706,000 ₫","11,706,000 ₫","11,706,000 ₫"
Forecast Balance,0 ₫,"13,503,250 ₫","19,290,000 ₫","19,290,000 ₫","19,290,000 ₫","14,592,000 ₫","14,592,000 ₫","14,592,000 ₫","12,972,000 ₫","11,772,000 ₫","11,772,000 ₫","14,998,000 ₫","13,280,500 ₫","13,280,500 ₫","13,280,500 ₫","13,280,500 ₫","13,280,500 ₫","13,280,500 ₫","13,280,500 ₫","13,280,500 ₫","13,280,500 ₫","13,280,500 ₫","13,280,500 ₫","13,280,500 ₫"
