,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Stocking Cost,0 ₫,0 ₫,"10,010,000 ₫",0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,"9,600,000 ₫","3,562,500 ₫",0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫
Tax,0 ₫,0 ₫,"835,250 ₫",0 ₫,0 ₫,"348,000 ₫",0 ₫,0 ₫,"120,000 ₫",0 ₫,0 ₫,"768,000 ₫","285,000 ₫",0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫
Operating Cost,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,"1,200,000 ₫",0 ₫,"110,000 ₫",0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫
Outsourcing Cost,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,"4,350,000 ₫",0 ₫,0 ₫,"1,500,000 ₫",0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫
Other Cost,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,"3,000,000 ₫",0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫
Total Cost,0 ₫,0 ₫,"10,845,250 ₫",0 ₫,0 ₫,"4,698,000 ₫",0 ₫,0 ₫,"1,620,000 ₫","1,200,000 ₫",0 ₫,"10,478,000 ₫","6,847,500 ₫",0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫
