Date,Type,Cost Item,Price,GTGT,Note
3/26/2025,Stocking Cost,Goods,"10,010,000 ₫","835,250 ₫",
6/30/2025,Outsourcing Cost,Accounting Service,"4,350,000 ₫","348,000 ₫",
9/29/2025,Outsourcing Cost,Accounting Service,"1,500,000 ₫","120,000 ₫",
10/2/2025,Operating Cost,Salary,"1,200,000 ₫",0 ₫,
12/17/2025,Stocking Cost,Goods,"9,600,000 ₫","768,000 ₫",
12/27/2025,Operating Cost,Banking Service,"110,000 ₫",0 ₫,
1/2/2026,Other Cost,Edu & Train,"1,900,000 ₫",0 ₫,
1/5/2026,Other Cost,Edu & Train,"1,100,000 ₫",0 ₫,
1/6/2026,Stocking Cost,Goods,"3,562,500 ₫","285,000 ₫",
